Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
173,174,13,33.50850850850851,8,9763,"11, 8",Cross Match (Case_E2_E1E),Step 6: Cross Matches,14,13,19,49,5,36,73.7%,26.5%,❌ Diff: RDP=14 vs Santa=13,68,27,41,8_Recombination events.csv|9763,9763,8_Recombination events.csv,3210,10000,"['10', '14', '19', '24', '30', '33', '4', '48']",1000,0.0002,0.02,0.1,5000,50,2394,9986,2394-9986 | 2426-3221,"['14', '24', '4', '48', '10', '30', '33', '19'] | ['14', '24', '4', '48', '10', '30', '33', '19']","['32', '6'] | ['29']","['8', '36', '27', '13', '43', '26', '20', '31', '25', '22', '21', '45', '46', '7', '2', '35', '39', '44', '38', '16', '49'] | ['42', '8', '9', '36', '27', '13', '43', '26', '20', '31', '25', '22', '21', '45', '46', '7', '50', '2', '35', '47', '39', '1', '44', '17', '38', '16', '49', '11']",,,,,,,,,,85.5,,,100.0,,,,50,,,,,,,100.0,,,,,100.0,,,,2.0,,,,,,,,,100.0,✅ Yes,✅ Yes,8.0,11.0,,0.0,✅ Yes,✅ Yes,"11, 8",3210-10000,100.0%,100.0%,100,100.0,,,,,,,,,,50.0,17.0,5,3,4,100,"11,8",✅ Start+End
174,175,10,33.33333333333333,23,9387,12,Case_F_Start_Start,Step 1: Approximate,12,10,21,43,9,33,57.1%,23.3%,❌ Diff: RDP=12 vs Santa=10,64,22,42,23_Recombination events.csv|9387,9387,23_Recombination events.csv,4488,10000,"['13', '27', '3', '36', '37', '38', '40', '42', '48', '5', '50', '9']",1000,0.0002,0.02,0.1,5000,50,4452,5723,4452-5723,"['40', '37', '48', '5', '27', '3', '36', '9', '13', '38', '50', '42']","['14', '12', '45', '24', '16', '33', '49', '32', '35']","['43', '44', '22', '31', '34', '11']",36.0,4277.0,4313.0,22.40566037735849,4488.0,1122.0,25.0,Exact Recombinant Match,,27.48113207547169,,,,,,,30,,,,,,,,,,,,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,12,4488-10000,22.4%,66.7%,0,22.40566037735849,,,,,,,,,,66.66666666666666,0.0,0,1,8,0,12,❌ None
175,176,6,31.818181818181817,16,9534,13,Case_B_End_Ini,Step 1: Approximate,9,10,17,46,8,36,52.9%,21.7%,❌ Diff: RDP=9 vs Santa=10,63,19,44,16_Recombination events.csv|9534,9534,16_Recombination events.csv,1386,3489,"['14', '15', '24', '26', '28', '29', '34', '35', '42', '43', '5']",1000,0.0002,0.02,0.1,5000,50,3492,8040,3492-8040,"['43', '14', '15', '5', '29', '26', '24', '34', '28', '35', '42']","['25', '33']","['30', '37', '6', '17', '22', '45', '16', '19', '49', '9', '10', '38', '47']",2106.0,4551.0,6657.0,0.0,2103.0,525.8,25.0,Exact Recombinant Match,,22.09090909090909,,,,,,,30,,,,,,,,,,,,63.63636363636363,,,,,,,,,,,,,,,,,,,,,,13,1386-3489,,63.6%,0,0.0,,,,,,,,,,63.63636363636363,0.0,0,1,8,0,13,❌ None
176,177,11,30.930930930930927,23,7012,9,✅ Complete Match (1/1),Step 2: Best Match,12,10,21,43,9,33,57.1%,23.3%,❌ Diff: RDP=12 vs Santa=10,64,22,42,23_Recombination events.csv|7012,7012,23_Recombination events.csv,4635,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,4613,9640,4613-9640,['8'],"['40', '37', '5', '9', '38', '50']","['14', '12', '45', '24', '16', '33', '49', '32', '35']",22.0,360.0,382.0,93.3,,,,,🎯 Perfect (1/1),53.66,2.1,1/1,100.0,48.0,1.0,1/1,50,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,9,4635-10000,93.3%,100.0%,0,93.3,,,,,,,,,,0.0,61.8,0,1,3,0,9,❌ None
177,178,6,27.927927927927925,14,6001,3,✅ Complete Match (1/1),Step 2: Best Match,9,8,14,44,5,36,64.3%,18.2%,❌ Diff: RDP=9 vs Santa=8,58,17,41,14_Recombination events.csv|6001,6001,14_Recombination events.csv,2526,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,2084,10000,2084-10000,['17'],"['40', '2', '44']","['6', '48', '20', '42', '7', '30', '37', '43', '8', '31', '24', '3', '10', '35', '38', '29', '26', '19', '49', '28', '39', '46', '47', '1', '22', '16', '33', '41', '27', '13', '25', '50']",442.0,0.0,442.0,100.0,,,,,🎯 Perfect (1/1),55.0,2.0,1/1,100.0,50.0,1.0,1/1,50,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,2526-10000,100.0%,100.0%,0,100.0,,,,,,,,,,0.0,55.8,0,1,3,0,3,❌ None
178,179,6,26.37913741223671,24,5570,7,✅ Complete Match (1/1),Step 2: Best Match,6,6,13,53,7,47,46.2%,11.3%,✅ Equal,66,12,54,24_Recombination events.csv|5570,5570,24_Recombination events.csv,5772,8469,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,5988,8211,5988-8211,['8'],"['7', '13', '12', '42']","['29', '45', '34', '17', '39', '50', '47']",216.0,258.0,474.0,82.4,,,,,🎯 Perfect (1/1),51.48,2.0,1/1,100.0,50.0,1.0,1/1,50,91.6,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,7,5772-8469,82.4%,100.0%,0,82.4,,,,,,,,,,0.0,52.6,0,1,3,0,7,❌ None
179,180,12,25.352112676056336,3,4047,14,✅ Complete Match (1/1),Step 2: Best Match,14,12,17,31,3,19,82.4%,38.7%,❌ Diff: RDP=14 vs Santa=12,48,26,22,3_Recombination events.csv|4047,4047,3_Recombination events.csv,2058,5448,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,1634,5376,1634-5376,"['14', '27']","['3', '44', '30']","['24', '29']",424.0,72.0,496.0,97.9,,,,,✅ Complete (2/2),54.58,4.0,2/2,100.0,50.0,2.0,2/2,50,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,14,2058-5448,97.9%,100.0%,0,97.9,,,,,,,,,,0.0,50.4,0,1,3,0,14,❌ None
180,181,7,25.0,1,9103,7,Case_A_End_End,Step 1: Approximate,8,7,10,39,2,32,80.0%,17.9%,❌ Diff: RDP=8 vs Santa=7,49,15,34,1_Recombination events.csv|9103,9103,1_Recombination events.csv,1464,5703,"['17', '26', '37', '50', '6', '7']",1000,0.0002,0.02,0.1,5000,50,3516,5705,3516-5705,"['7', '37', '6', '26', '17', '50']","['18', '48', '45', '36', '20', '2', '42', '30', '8', '5', '31', '24', '4', '3', '10', '21', '35', '38', '14', '29', '19', '49', '11', '23', '46', '47', '12', '1', '22', '16', '33', '34', '25']","['40', '43', '44', '41', '27', '32', '9', '39']",2052.0,2.0,2054.0,51.59235668789809,4239.0,1059.8,25.0,Exact Recombinant Match,,28.318471337579616,,,,,,,30,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,7,1464-5703,51.6%,50.0%,0,51.59235668789809,,,,,,,,,,50.0,0.0,0,1,8,0,7,❌ None
181,182,8,23.42342342342342,5,9810,18,✅ Complete Match (1/1),Step 2: Best Match,10,10,19,46,9,36,52.6%,21.7%,✅ Equal,65,20,45,5_Recombination events.csv|9810,9810,5_Recombination events.csv,2640,5478,"['38', '5']",1000,0.0002,0.02,0.1,5000,50,3128,5434,3128-5434,"['5', '38']",['26'],"['28', '22', '45']",488.0,44.0,532.0,81.3,,,,,✅ Complete (2/2),51.260000000000005,100.0,2/2,100.0,2.0,2.0,2/2,50,90.3,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,18,2640-5478,81.3%,100.0%,0,81.3,,,,,,,,,,0.0,46.8,0,1,3,0,18,❌ None
182,183,9,21.44288577154309,2,4086,4,✅ Complete Match (1/1),Step 2: Best Match,9,8,11,68,2,60,81.8%,11.8%,❌ Diff: RDP=9 vs Santa=8,79,17,62,2_Recombination events.csv|4086,4086,2_Recombination events.csv,4626,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,4792,9594,4792-9594,['13'],"['6', '18', '45', '42', '30', '37', '43', '5', '24', '4', '3', '32', '17', '10', '21', '14', '15', '29', '28', '9', '11', '39', '46', '47', '1', '16', '33', '34', '41', '25', '50']","['12', '26', '22', '36', '20']",166.0,406.0,572.0,89.4,,,,,🎯 Perfect (1/1),52.88,2.0,1/1,100.0,50.0,1.0,1/1,50,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,4626-10000,89.4%,100.0%,0,89.4,,,,,,,,,,0.0,42.8,0,1,3,0,4,❌ None
183,184,7,16.666666666666664,14,9843,"6, 7",Cross Match (Case_E2_E1S),Step 6: Cross Matches,9,8,14,44,5,36,64.3%,18.2%,❌ Diff: RDP=9 vs Santa=8,58,17,41,14_Recombination events.csv|9843,9843,14_Recombination events.csv,4956,10000,"['2', '40', '44']",1000,0.0002,0.02,0.1,5000,50,4,4954,4-2082 | 4050-4954,"['40', '2', '44'] | ['40', '2', '44']","['6', '48', '20', '42', '7', '37', '30', '43', '8', '31', '24', '3', '10', '35', '38', '29', '26', '19', '49', '28', '39', '46', '47', '1', '22', '16', '33', '41', '27', '13', '25', '50'] | ['14', '15', '12', '5', '18', '45', '34', '4', '36', '32', '9', '21', '11', '23']","['14', '15', '5', '12', '18', '45', '34', '4', '36', '32', '9', '21', '11', '23'] | ['6', '48', '20', '42', '7', '30', '37', '43', '8', '31', '24', '3', '10', '35', '38', '29', '26', '19', '49', '28', '39', '46', '47', '1', '22', '16', '33', '41', '27', '13', '25', '50']",,,,,,,,,,85.5,,,100.0,,,,50,,,,,,,100.0,,,,,100.0,,,,2.0,,,,,,,,,100.0,✅ Yes,✅ Yes,6.0,7.0,,0.0,✅ Yes,✅ Yes,"6, 7",4956-10000,100.0%,100.0%,100,100.0,,,,,,,,,,33.33333333333333,0.0,5,3,4,100,"6,7",✅ Start+End
184,185,9,12.5,5,9671,17,Case_F_Start_Start,Step 1: Approximate,10,10,19,46,9,36,52.6%,21.7%,✅ Equal,65,20,45,5_Recombination events.csv|9671,9671,5_Recombination events.csv,72,10000,"['2', '21', '36', '47']",1000,0.0002,0.02,0.1,5000,50,72,692,72-692,"['47', '2', '36', '21']","['33', '49', '20']","['42', '8', '6', '37', '13', '15', '10', '30', '19', '50', '11']",0.0,9308.0,9308.0,6.244963738920226,72.0,18.0,25.0,Exact Recombinant Match,,11.748992747784046,,,,,,,30,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,17,72-10000,6.2%,25.0%,0,6.244963738920226,,,,,,,,,,25.0,0.0,0,1,8,0,17,❌ None
185,186,8,10.0,22,9711,8,Case_E_Start_End,Step 1: Approximate,11,9,13,48,2,39,84.6%,18.8%,❌ Diff: RDP=11 vs Santa=9,61,20,41,22_Recombination events.csv|9711,9711,22_Recombination events.csv,5829,10000,"['10', '32', '45', '46', '9']",1000,0.0002,0.02,0.1,5000,50,28,5816,28-5816,"['45', '32', '9', '10', '46']","['7', '30', '26', '41', '35', '2']",['21'],5801.0,4184.0,9985.0,0.0,4171.0,1042.8,25.0,Exact Recombinant Match,,9.0,,,,,,,30,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,8,5829-10000,,20.0%,0,0.0,,,,,,,,,,20.0,0.0,0,1,8,0,8,❌ None
186,187,7,9.422492401215807,16,9612,11,✅ Complete Match (1/1),Step 2: Best Match,9,10,17,46,8,36,52.9%,21.7%,❌ Diff: RDP=9 vs Santa=10,63,19,44,16_Recombination events.csv|9612,9612,16_Recombination events.csv,2469,7977,"['1', '10', '17', '30', '32', '38', '40', '45', '46', '47', '6', '9']",1000,0.0002,0.02,0.1,5000,50,3170,8090,3170-8090,['40'],['33'],"['2', '12', '27', '21', '11']",701.0,113.0,814.0,87.3,,,,,🎯 Perfect (1/1),50.46,8.3,1/1,100.0,12.0,1.0,1/1,30,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,11,2469-7977,87.3%,100.0%,0,87.3,,,,,,,,,,0.0,18.60000000000001,0,1,3,0,11,❌ None
187,188,9,3.360080240722161,10,6845,7,✅ Complete Match (1/1),Step 2: Best Match,10,10,20,54,10,44,50.0%,18.5%,✅ Equal,74,20,54,10_Recombination events.csv|6845,6845,10_Recombination events.csv,2199,7467,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,2672,7007,2672-7007,"['26', '20']","['30', '6', '18', '29', '22', '25', '24', '19', '28', '4', '36', '32', '38', '13', '39', '50', '46']","['7', '15', '33', '41', '42']",473.0,460.0,933.0,82.3,,,,,✅ Complete (2/2),51.46,4.0,2/2,100.0,50.0,2.0,2/2,50,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,7,2199-7467,82.3%,100.0%,0,82.3,,,,,,,,,,0.0,6.699999999999989,0,1,3,0,7,❌ None
188,189,10,0.0,10,9780,9,🎯 Start-End Parent-Child (Major_Exact_Match),Step 7: Start-End Parent-Child,10,10,20,54,10,44,50.0%,18.5%,✅ Equal,74,20,54,10_Recombination events.csv|9780,9780,10_Recombination events.csv,2661,10000,['26'],1000,0.0002,0.02,0.1,5000,50,2004,2645,2004-2645,['20'],"['7', '15', '33', '41', '42']",['26'],,,,,2661.0,665.2,25.0,,,5.0,,,,1.0,,,50,,,,,,,80.0,,,,,0.0,,,,1.0,,,,,,,,,,✅ Start-End Parent-Child,✅ Major_Exact_Match,9.0,9.0,,,,,9,2661-10000,,,0,0.0,10_Recombination events.csv,Major_Exact_Match,['26'],"Start_Start, Start_End",2.0,336.5,673.0,,,0.0,0.0,0,4,1,0,9,❌ None
189,190,10,0.0,16,9989,1,Case_E_Start_End,Step 1: Approximate,9,10,17,46,8,36,52.9%,21.7%,❌ Diff: RDP=9 vs Santa=10,63,19,44,16_Recombination events.csv|9989,9989,16_Recombination events.csv,9567,10000,"['39', '4', '7']",1000,0.0002,0.02,0.1,5000,50,1914,9615,1914-9615,"['7', '39', '4']","['37', '22', '16', '19', '49']","['13', '20', '3']",7653.0,385.0,8038.0,11.085450346420323,433.0,108.2,25.0,Exact Recombinant Match,,5.217090069284065,,,,,,,30,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1,9567-10000,11.1%,,0,11.085450346420323,,,,,,,,,,0.0,0.0,0,1,8,0,1,❌ None
190,191,9,0.0,16,9973,14,Case_A_End_End,Step 1: Approximate,9,10,17,46,8,36,52.9%,21.7%,❌ Diff: RDP=9 vs Santa=10,63,19,44,16_Recombination events.csv|9973,9973,16_Recombination events.csv,1413,10000,"['39', '4', '7']",1000,0.0002,0.02,0.1,5000,50,9580,9650,9580-9650,"['7', '39', '4']",['36'],['21'],8167.0,350.0,8517.0,0.8151857458949575,1413.0,353.2,25.0,Exact Recombinant Match,,3.1630371491789915,,,,,,,30,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,14,1413-10000,0.8%,,0,0.8151857458949575,,,,,,,,,,0.0,0.0,0,1,8,0,14,❌ None
191,192,8,0.0,16,9599,16,🎯 Start-End Parent-Child (Major_Exact_Match),Step 7: Start-End Parent-Child,9,10,17,46,8,36,52.9%,21.7%,❌ Diff: RDP=9 vs Santa=10,63,19,44,16_Recombination events.csv|9599,9599,16_Recombination events.csv,1473,6777,"['23', '3', '48', '50']",1000,0.0002,0.02,0.1,5000,50,528,704,528-704,['11'],"['31', '18', '32', '46']","['50', '48', '3', '23']",,,,,4696.0,1174.0,25.0,,,5.0,,,,4.0,,,50,,,,,,,80.0,,,,,0.0,,,,1.0,,,,,,,,,,✅ Start-End Parent-Child,✅ Major_Exact_Match,16.0,16.0,,,,,16,1473-6777,,,0,0.0,16_Recombination events.csv,Major_Exact_Match,"['50', '48', '3', '23']","Start_Start, Start_End",2.0,857.0,1714.0,,,0.0,0.0,0,4,1,0,16,❌ None
192,193,8,0.0,14,2066,4,Cluster (3 RDPs),Step 5: Cluster,9,8,14,44,5,36,64.3%,18.2%,❌ Diff: RDP=9 vs Santa=8,58,17,41,14_Recombination events.csv|2066,2066,14_Recombination events.csv,5004,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,2084,10000,7315-7932,['17'] | ['17'] | ['17'],"['40', '2', '44'] | ['12', '5', '45', '4', '36', '9', '21'] | ['40', '2', '44']","['6', '48', '20', '42', '7', '30', '37', '43', '8', '31', '24', '3', '10', '35', '38', '29', '26', '19', '49', '28', '39', '46', '47', '1', '22', '16', '33', '41', '27', '13', '25', '50'] | ['6', '48', '20', '42', '7', '30', '37', '43', '8', '31', '24', '3', '10', '35', '38', '29', '26', '19', '49', '28', '39', '46', '47', '1', '22', '16', '33', '41', '27', '13', '25', '50'] | ['6', '48', '20', '42', '7', '30', '37', '43', '8', '31', '24', '3', '10', '35', '38', '29', '26', '19', '49', '28', '39', '46', '47', '1', '22', '16', '33', '41', '27', '13', '25', '50']",,,,,,,,,,85.0,,,100.0,,,,50,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,✅ Yes,✅ Yes,1.0,3.0,3.0,0.0,✅ Yes,✅ Yes,4,5004-10000,100.0%,100.0%,100,100.0,,,,,,,,,,0.0,0.0,0,3,5,100,4,✅ Start+End
193,194,9,0.0,22,4061,9,Cluster (2 RDPs),Step 5: Cluster,11,9,13,48,2,39,84.6%,18.8%,❌ Diff: RDP=11 vs Santa=9,61,20,41,22_Recombination events.csv|4061,4061,22_Recombination events.csv,1692,2442,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,34,6996,5007-6996,['38'] | ['38'],"['22'] | ['40', '12', '24', '33', '19', '27', '11', '42']",['44'] | ['22'],,,,,,,,,,85.0,,,100.0,,,,50,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,✅ Yes,✅ Yes,9.0,9.0,9.0,0.0,✅ Yes,✅ Yes,9,1692-2442,100.0%,100.0%,100,100.0,,,,,,,,,,0.0,0.0,0,3,5,100,9,✅ Start+End
194,195,8,0.0,17,9948,9,Case_E_Start_End,Step 1: Approximate,8,6,12,44,4,38,66.7%,13.6%,❌ Diff: RDP=8 vs Santa=6,56,14,42,17_Recombination events.csv|9948,9948,17_Recombination events.csv,1161,10000,"['14', '33', '45']",1000,0.0002,0.02,0.1,5000,50,634,1159,634-1159,"['45', '14', '33']","['8', '5', '24', '16', '36']","['47', '43', '20', '22', '46', '32', '10', '13', '50', '23']",527.0,8841.0,9368.0,0.0,1161.0,290.2,25.0,Exact Recombinant Match,,3.0,,,,,,,30,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,9,1161-10000,,,0,0.0,,,,,,,,,,0.0,0.0,0,1,8,0,9,❌ None
195,196,10,0.0,5,9486,11,🎯 Start-End Parent-Child (Minor_Exact_Match),Step 7: Start-End Parent-Child,10,10,19,46,9,36,52.6%,21.7%,✅ Equal,65,20,45,5_Recombination events.csv|9486,9486,5_Recombination events.csv,5343,9780,"['2', '21', '36', '47']",1000,0.0002,0.02,0.1,5000,50,210,9802,210-9802,"['39', '46', '17']","['47', '2', '36', '21']",['14'],,,,,4437.0,1109.2,25.0,,,5.0,,,,4.0,,,50,,,,,,,80.0,,,,,0.0,,,,1.0,,,,,,,,,,✅ Start-End Parent-Child,✅ Minor_Exact_Match,11.0,11.0,,,,,11,5343-9780,,,0,0.0,5_Recombination events.csv,Minor_Exact_Match,"['47', '2', '36', '21']","End_Start, End_End",2.0,226.0,452.0,,,0.0,0.0,0,4,1,0,11,❌ None
196,197,7,0.0,7,10045,"6, 7",Cross Match (Case_S1_E2S),Step 6: Cross Matches,8,7,8,34,0,27,100.0%,20.6%,❌ Diff: RDP=8 vs Santa=7,42,15,27,7_Recombination events.csv|10045,10045,7_Recombination events.csv,870,6099,"['18', '4']",1000,0.0002,0.02,0.1,5000,50,873,9087,873-9087 | 6118-9086,"['4', '18'] | ['4', '18']","['17'] | ['17', '49']",['38'] | ['38'],,,,,,,,,,85.5,,,100.0,,,,50,,,,,,,100.0,,,,,100.0,,,,2.0,,,,,,,,,100.0,✅ Yes,✅ Yes,7.0,6.0,,0.0,✅ Yes,✅ Yes,"6, 7",870-6099,100.0%,100.0%,100,100.0,,,,,,,,,,0.0,0.0,5,3,4,100,"6,7",✅ Start+End
0,1,1,100.0,26,10028,2,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,7,50,3,46,57.1%,8.0%,✅ Equal,57,8,49,26_Recombination events.csv|10028,10028,26_Recombination events.csv,8508,10000,['48'],1000,0.0002,0.02,0.1,5000,50,8509,9998,8509-9998,['48'],['27'],"['34', '31']",1.0,2.0,3.0,99.8,,,,,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,8508-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100.0,99.7,0,1,2,0,2,❌ None
1,2,1,100.0,28,9884,4,⭐ Excellent Match (1/1),Step 2: Best Match,13,12,14,70,1,58,92.9%,17.1%,❌ Diff: RDP=13 vs Santa=12,84,25,59,28_Recombination events.csv|9884,9884,28_Recombination events.csv,8631,8943,"['26', '32']",1000,0.0002,0.02,0.1,5000,50,8630,8941,8630-8941,"['26', '32']","['4', '36', '29']","['28', '25', '50', '24']",1.0,2.0,3.0,99.4,,,,,✅ Complete (2/2),58.88,100.0,2/2,100.0,2.0,2.0,2/2,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,8631-8943,99.4%,100.0%,0,99.4,,,,,,,,,,100.0,99.7,0,1,2,0,4,❌ None
2,3,1,100.0,27,10013,5,Standard_Match,Step 1: Approximate,13,13,18,67,5,54,72.2%,19.4%,✅ Equal,85,26,59,27_Recombination events.csv|10013,10013,27_Recombination events.csv,108,831,['44'],1000,0.0002,0.02,0.1,5000,50,108,832,108-832,['44'],"['32', '14', '5', '23']","['11', '42']",0.0,1.0,1.0,100.0,723.0,180.8,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,5,108-831,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.9,0,1,7,0,5,❌ None
3,4,1,100.0,30,9848,1,Standard_Match,Step 1: Approximate,9,9,10,34,1,25,90.0%,26.5%,✅ Equal,44,18,26,30_Recombination events.csv|9848,9848,30_Recombination events.csv,6477,10000,"['17', '35']",1000,0.0002,0.02,0.1,5000,50,6478,9998,6478-9998,"['17', '35']","['30', '41']","['23', '47']",1.0,2.0,3.0,99.91484530229918,3523.0,880.8,25.0,Exact Recombinant Match,,58.98296906045984,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,6477-10000,99.9%,100.0%,0,99.91484530229918,,,,,,,,,,100.0,99.7,0,1,7,0,1,❌ None
4,5,2,100.0,29,9976,1,🎯 Perfect Match (1/1),Step 2: Best Match,6,6,6,34,0,28,100.0%,17.6%,✅ Equal,40,12,28,29_Recombination events.csv|9976,9976,29_Recombination events.csv,24,7734,['4'],1000,0.0002,0.02,0.1,5000,50,25,7735,25-7735,['4'],"['30', '19', '44']","['50', '15']",1.0,1.0,2.0,100.0,,,,,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,24-7734,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,1,0,1,❌ None
