Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
64,65,1,96.010101010101,23,9787,2,✅ Complete Match (1/1),Step 2: Best Match,2,2,2,35,0,33,100.0%,5.7%,✅ Equal,37,4,33,23_Recombination events.csv|9787,9787,23_Recombination events.csv,8706,10000,['18'],1000,0.0001,0.02,0.1,5000,50,8703.0,9914.0,8703-9914,['18'],"['7', '25', '34', '45', '47', '1', '32', '40', '33']","['15', '44', '2', '21', '43', '5']",3.0,86.0,89.0,93.4,,,,,🎯 Perfect (1/1),55.68000000000001,100.0,1/1,100.0,1.0,1.0,1/1,70,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,8706-10000,93.4%,100.0%,0,93.4,,,,,,,,,,100.0,91.1,0,1,3,0,2,❌ None
65,66,3,95.86693548387098,30,10139,10,✅ Complete Match (1/1),Step 2: Best Match,10,9,12,39,2,30,83.3%,23.1%,❌ Diff: RDP=10 vs Santa=9,51,19,32,30_Recombination events.csv|10139,10139,30_Recombination events.csv,3078,10000,['16'],1000,0.0001,0.02,0.1,5000,50,3086.0,9918.0,3086-9918,['16'],"['9', '49']","['15', '14', '46']",8.0,82.0,90.0,98.7,,,,,🎯 Perfect (1/1),56.74,100.0,1/1,100.0,1.0,1.0,1/1,70,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,10,3078-10000,98.7%,100.0%,0,98.7,,,,,,,,,,100.0,91.0,0,1,3,0,1,❌ None
66,67,3,94.01408450704224,25,9761,6,Standard_Match,Step 1: Approximate,7,6,8,22,1,16,87.5%,27.3%,❌ Diff: RDP=7 vs Santa=6,30,13,17,25_Recombination events.csv|9761,9761,25_Recombination events.csv,3582,4095,"['11', '20']",1000,0.0001,0.02,0.1,5000,50,3458.0,4096.0,3458-4096,"['11', '20']","['8', '24', '25', '34', '41', '45', '4', '29', '33', '43', '47', '9']","['46', '36', '42', '38', '22']",124.0,1.0,125.0,100.0,513.0,128.2,25.0,Exact Recombinant Match,,55.0,,,,,,,50,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,6,3582-4095,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,87.5,0,1,7,0,6,❌ None
67,68,4,93.12938816449348,33,9861,11,Cross Match (Case_S2_E1E),Step 6: Cross Matches,8,7,12,40,4,33,66.7%,17.5%,❌ Diff: RDP=8 vs Santa=7,52,15,37,33_Recombination events.csv|9861,9861,33_Recombination events.csv,2367,10000,['26'],1000,0.0001,0.02,0.1,5000,50,2249.0,9978.0,2249-9978,['26'] | ['26'],"['5'] | ['10', '39', '18', '4', '22', '47', '24', '37', '35', '5', '16', '31', '34', '38', '27', '32', '48', '25', '28', '41', '42', '6']",['20'] | ['20'],,,,,,,,,,85.5,,,100.0,,,,50,,,,,,,100.0,,,,,100.0,,,,2.0,,,,,,,,,100.0,✅ Yes,✅ Yes,9.0,11.0,,0.0,✅ Yes,✅ Yes,11,2367-10000,100.0%,100.0%,100,100.0,,,,,,,,,,100.0,86.0,5,3,4,100,11,✅ Start+End
68,69,3,93.12938816449348,33,9861,9,Standard_Match,Step 1: Approximate,8,7,12,40,4,33,66.7%,17.5%,❌ Diff: RDP=8 vs Santa=7,52,15,37,33_Recombination events.csv|9861,9861,33_Recombination events.csv,2367,10000,['26'],1000,0.0001,0.02,0.1,5000,50,2249.0,9978.0,2249-9978,['26'],['5'],['20'],118.0,22.0,140.0,99.71177780689112,2367.0,591.8,25.0,Exact Recombinant Match,,54.94235556137823,,,,,,,50,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,9,2367-10000,99.7%,100.0%,0,99.71177780689112,,,,,,,,,,100.0,86.0,0,1,7,0,9,❌ None
69,70,6,90.98333333333332,29,9567,14,✅ Complete Match (1/1),Step 2: Best Match,15,11,21,23,6,12,71.4%,47.8%,❌ Diff: RDP=15 vs Santa=11,44,26,18,29_Recombination events.csv|9567,9567,29_Recombination events.csv,5700,6003,"['1', '12', '19', '21', '23', '28', '29', '31', '32', '33', '34', '37', '38', '39', '4', '43', '45', '47', '5', '50', '6', '8']",1000,0.0001,0.02,0.1,5000,50,5687.0,5969.0,5687-5969,"['8', '31', '19', '50', '45', '12', '39', '37', '29', '23', '6', '21', '47', '5', '33']","['15', '11', '17', '24']","['2', '26', '25']",13.0,34.0,47.0,88.8,,,,,✅ Complete (15/15),54.760000000000005,68.2,15/15,100.0,22.0,15.0,15/15,70,98.6,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,14,5700-6003,88.8%,100.0%,0,88.8,,,,,,,,,,86.66666666666667,95.3,0,1,3,0,14,❌ None
70,71,2,87.31193580742227,36,9603,9,Case_A_End_End,Step 1: Approximate,10,9,12,45,2,36,83.3%,20.0%,❌ Diff: RDP=10 vs Santa=9,57,19,38,36_Recombination events.csv|9603,9603,36_Recombination events.csv,414,10000,"['41', '49']",1000,0.0001,0.02,0.1,5000,50,162.0,9996.0,162-9996,"['41', '49']","['36', '28', '30', '14', '12', '42', '37', '44', '29']","['31', '50', '39', '18', '22']",252.0,4.0,256.0,99.95827248070104,414.0,103.5,25.0,Exact Recombinant Match,,54.99165449614021,,,,,,,50,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,9,414-10000,100.0%,100.0%,0,99.95827248070104,,,,,,,,,,100.0,74.4,0,1,8,0,9,❌ None
71,72,4,86.425,26,2058,7,✅ Complete Match (1/1),Step 2: Best Match,9,9,13,60,4,51,69.2%,15.0%,✅ Equal,73,18,55,26_Recombination events.csv|2058,2058,26_Recombination events.csv,3051,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0001,0.02,0.1,5000,50,2850.0,9992.0,2850-9992,"['46', '10', '31', '19', '25', '28', '49', '44', '39', '35', '18', '2', '6', '21', '27', '9']","['24', '8', '50', '42', '37', '29', '43']","['7', '15', '30', '17', '23', '22', '1', '32', '5']",201.0,8.0,209.0,99.9,,,,,✅ Complete (16/16),54.98,32.0,16/16,100.0,50.0,16.0,16/16,50,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,7,3051-10000,99.9%,100.0%,0,99.9,,,,,,,,,,93.75,79.1,0,1,3,0,7,❌ None
72,73,3,85.96243275280386,24,9431,5,⭐ Excellent Match (1/1),Step 2: Best Match,11,9,15,37,4,28,73.3%,24.3%,❌ Diff: RDP=11 vs Santa=9,52,20,32,24_Recombination events.csv|9431,9431,24_Recombination events.csv,8808,10000,"['10', '14', '20', '22', '26', '29', '32', '37', '42', '45', '46']",1000,0.0001,0.02,0.1,5000,50,8804.0,9993.0,8804-9993,"['46', '10', '45', '14', '42', '37', '26', '29', '22', '32', '20']","['24', '25', '28', '30', '44', '39', '49', '18', '4', '2', '27', '13']","['36', '31', '38', '35', '43', '47', '33']",4.0,7.0,11.0,99.4,,,,,✅ Complete (11/11),58.88,100.0,11/11,100.0,11.0,11.0,11/11,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,5,8808-10000,99.4%,100.0%,0,99.4,,,,,,,,,,72.72727272727273,98.9,0,1,2,0,5,❌ None
73,74,6,84.61318461318461,32,9462,4,⭐ Excellent Match (1/1),Step 2: Best Match,10,9,14,55,4,46,71.4%,16.4%,❌ Diff: RDP=10 vs Santa=9,69,19,50,32_Recombination events.csv|9462,9462,32_Recombination events.csv,78,6540,"['13', '19', '39', '43', '44', '47', '5']",1000,0.0001,0.02,0.1,5000,50,100.0,6541.0,100-6541,"['19', '44', '39', '43', '47', '13', '5']","['7', '36', '49', '15', '38', '4', '29', '40']","['28', '8', '26']",22.0,1.0,23.0,99.7,,,,,✅ Complete (7/7),56.94,100.0,7/7,100.0,7.0,7.0,7/7,70,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,78-6540,99.7%,100.0%,0,99.7,,,,,,,,,,71.42857142857143,97.7,0,1,2,0,4,❌ None
74,75,2,84.34738955823293,18,9630,4,⭐ Excellent Match (1/1),Step 2: Best Match,9,9,11,43,2,34,81.8%,20.9%,✅ Equal,54,18,36,18_Recombination events.csv|9630,9630,18_Recombination events.csv,1479,6048,"['17', '21', '29', '3', '30', '34', '35', '37', '39', '5']",1000,0.0001,0.02,0.1,5000,50,1494.0,6050.0,1494-6050,"['5', '34', '30', '39', '17', '37', '35', '29', '21', '3']","['23', '36']","['7', '24', '16', '19', '28', '14', '12', '38', '2', '11', '22', '43', '47', '27', '40', '20', '9']",15.0,2.0,17.0,99.7,,,,,✅ Complete (10/10),56.94,100.0,10/10,100.0,10.0,10.0,10/10,70,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,1479-6048,99.7%,100.0%,0,99.7,,,,,,,,,,70.0,98.3,0,1,2,0,4,❌ None
75,76,4,83.33333333333333,39,9860,4,✅ Complete Match (1/1),Step 2: Best Match,8,8,10,36,2,28,80.0%,22.2%,✅ Equal,46,16,30,39_Recombination events.csv|9860,9860,39_Recombination events.csv,9672,10000,"['20', '24', '39', '47', '6', '7']",1000,0.0001,0.02,0.1,5000,50,9676.0,9992.0,9676-9992,"['7', '24', '39', '6', '47', '20']",['2'],"['9', '18']",4.0,8.0,12.0,96.3,,,,,✅ Complete (6/6),58.260000000000005,100.0,6/6,100.0,6.0,6.0,6/6,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,9672-10000,96.3%,100.0%,0,96.3,,,,,,,,,,66.66666666666666,98.8,0,1,3,0,4,❌ None
76,77,3,82.23838181210297,36,9157,6,✅ Complete Match (1/1),Step 2: Best Match,10,9,12,45,2,36,83.3%,20.0%,❌ Diff: RDP=10 vs Santa=9,57,19,38,36_Recombination events.csv|9157,9157,36_Recombination events.csv,186,1935,"['1', '10', '11', '13', '15', '16', '17', '18', '19', '2', '22', '23', '27', '31', '32', '34', '38', '39', '4', '41', '45', '46', '49', '5', '50', '6', '8', '9']",1000,0.0001,0.02,0.1,5000,50,194.0,1752.0,194-1752,"['50', '39', '18', '4', '11', '22', '23', '13', '46', '19', '5', '8', '16', '31', '34', '17', '27', '1', '9', '45', '15', '41', '49', '6']","['7', '48', '25', '26', '21', '47', '3', '20', '33']","['29', '30', '14', '37']",8.0,183.0,191.0,89.1,,,,,✅ Complete (24/24),52.82,85.7,24/24,100.0,28.0,24.0,24/24,50,99.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,6,186-1935,89.1%,100.0%,0,89.1,,,,,,,,,,83.33333333333334,80.9,0,1,3,0,6,❌ None
77,78,3,80.0,28,9826,6,✅ Complete Match (1/1),Step 2: Best Match,6,6,6,25,0,19,100.0%,24.0%,✅ Equal,31,12,19,28_Recombination events.csv|9826,9826,28_Recombination events.csv,9810,10000,"['19', '2', '20', '29', '32']",1000,0.0001,0.02,0.1,5000,50,9810.0,9995.0,9810-9995,"['19', '29', '2', '32', '20']","['31', '30', '42', '6', '40']","['7', '46', '34', '37', '26', '18', '23', '21']",0.0,5.0,5.0,97.4,,,,,✅ Complete (5/5),58.48,100.0,5/5,100.0,5.0,5.0,5/5,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,6,9810-10000,97.4%,100.0%,0,97.4,,,,,,,,,,60.0,99.5,0,1,3,0,6,❌ None
78,79,3,80.0,37,9522,3,🎯 Perfect Match (1/1),Step 2: Best Match,8,7,8,36,0,29,100.0%,19.4%,❌ Diff: RDP=8 vs Santa=7,44,15,29,37_Recombination events.csv|9522,9522,37_Recombination events.csv,948,5199,"['14', '16', '17', '20', '25', '28', '29', '32', '42', '49']",1000,0.0001,0.02,0.1,5000,50,948.0,5198.0,948-5198,"['16', '25', '28', '49', '14', '42', '17', '29', '32', '20']","['44', '21']","['7', '10', '39', '4', '11', '23', '13', '46', '24', '19', '35', '5', '3', '40', '31', '34', '38', '2', '1', '48', '36', '41', '26', '6']",0.0,1.0,1.0,100.0,,,,,✅ Complete (10/10),59.0,100.0,10/10,100.0,10.0,10.0,10/10,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,948-5199,100.0%,100.0%,0,100.0,,,,,,,,,,60.0,99.9,0,1,1,0,3,❌ None
79,80,4,79.88131059846205,24,9116,11,✅ Complete Match (1/1),Step 2: Best Match,11,9,15,37,4,28,73.3%,24.3%,❌ Diff: RDP=11 vs Santa=9,52,20,32,24_Recombination events.csv|9116,9116,24_Recombination events.csv,7956,9621,"['1', '12', '15', '16', '21', '23', '3', '34', '41', '5', '50', '8', '9']",1000,0.0001,0.02,0.1,5000,50,8174.0,9641.0,8174-9641,"['8', '16', '5', '50', '15', '34', '41', '12', '23', '1', '3', '9']","['24', '25', '28', '30', '44', '39', '49', '18', '4', '2', '27', '13']","['36', '31', '38', '35', '43', '47', '40', '33']",218.0,20.0,238.0,86.9,,,,,✅ Complete (12/12),52.38,92.3,12/12,100.0,13.0,12.0,12/12,50,96.6,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,11,7956-9621,86.9%,100.0%,0,86.9,,,,,,,,,,83.33333333333334,76.2,0,1,3,0,11,❌ None
80,81,3,78.57142857142857,21,9443,6,✅ Complete Match (1/1),Step 2: Best Match,7,7,14,48,7,41,50.0%,14.6%,✅ Equal,62,14,48,21_Recombination events.csv|9443,9443,21_Recombination events.csv,3909,4224,"['13', '18', '25', '5', '50', '6', '7']",1000,0.0001,0.02,0.1,5000,50,3908.0,4228.0,3908-4228,"['7', '50', '25', '18', '6', '13', '5']","['46', '24', '33', '49']",['1'],1.0,4.0,5.0,100.0,,,,,✅ Complete (7/7),59.0,100.0,7/7,100.0,7.0,7.0,7/7,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,6,3909-4224,100.0%,100.0%,0,100.0,,,,,,,,,,57.14285714285714,99.5,0,1,3,0,6,❌ None
81,82,4,77.86791098348887,21,9529,3,✅ Complete Match (1/1),Step 2: Best Match,7,7,14,48,7,41,50.0%,14.6%,✅ Equal,62,14,48,21_Recombination events.csv|9529,9529,21_Recombination events.csv,963,9585,"['13', '18', '25', '5', '50', '6', '7']",1000,0.0001,0.02,0.1,5000,50,954.0,9575.0,954-9575,"['7', '50', '25', '18', '6', '13', '5']","['42', '35']",['1'],9.0,10.0,19.0,99.9,,,,,✅ Complete (7/7),58.98,100.0,7/7,100.0,7.0,7.0,7/7,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,963-9585,99.9%,100.0%,0,99.9,,,,,,,,,,57.14285714285714,98.1,0,1,3,0,3,❌ None
82,83,1,77.77777777777777,11,9753,2,🎯 Perfect Match (1/1),Step 2: Best Match,10,10,11,34,1,24,90.9%,29.4%,✅ Equal,45,20,25,11_Recombination events.csv|9753,9753,11_Recombination events.csv,2718,10000,"['14', '24', '28', '3', '32', '35', '50', '7', '8']",1000,0.0001,0.02,0.1,5000,50,2717.0,9996.0,2717-9996,"['7', '8', '24', '50', '28', '14', '35', '32', '3']","['34', '17', '37']","['10', '39', '18', '4', '11', '22', '23', '47', '13', '40', '20', '31', '38', '2', '1', '45', '25', '30', '44', '49', '29', '6']",1.0,4.0,5.0,99.9,,,,,✅ Complete (9/9),58.98,100.0,9/9,100.0,9.0,9.0,9/9,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,2718-10000,99.9%,100.0%,0,99.9,,,,,,,,,,55.55555555555556,99.5,0,1,1,0,2,❌ None
83,84,3,75.0,18,10001,2,🎯 Perfect Match (1/1),Step 2: Best Match,9,9,11,43,2,34,81.8%,20.9%,✅ Equal,54,18,36,18_Recombination events.csv|10001,10001,18_Recombination events.csv,3801,7416,"['10', '32', '4', '45']",1000,0.0001,0.02,0.1,5000,50,3802.0,7419.0,3802-7419,"['4', '10', '32', '45']","['22', '43']","['15', '8', '44', '48']",1.0,3.0,4.0,100.0,,,,,✅ Complete (4/4),59.0,100.0,4/4,100.0,4.0,4.0,4/4,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,3801-7416,100.0%,100.0%,0,100.0,,,,,,,,,,50.0,99.6,0,1,1,0,2,❌ None
84,85,2,74.89979959919839,12,9853,3,⭐ Excellent Match (1/1),Step 2: Best Match,5,4,6,44,1,40,83.3%,9.1%,❌ Diff: RDP=5 vs Santa=4,50,9,41,12_Recombination events.csv|9853,9853,12_Recombination events.csv,2751,4056,"['11', '15', '16', '21']",1000,0.0001,0.02,0.1,5000,50,2754.0,4057.0,2754-4057,"['15', '11', '16', '21']","['48', '8']",['34'],3.0,1.0,4.0,99.8,,,,,✅ Complete (4/4),58.96,100.0,4/4,100.0,4.0,4.0,4/4,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,2751-4056,99.8%,100.0%,0,99.8,,,,,,,,,,50.0,99.6,0,1,2,0,3,❌ None
85,86,4,74.89949748743717,28,9835,1,⭐ Excellent Match (1/1),Step 2: Best Match,6,6,6,25,0,19,100.0%,24.0%,✅ Equal,31,12,19,28_Recombination events.csv|9835,9835,28_Recombination events.csv,402,2301,"['1', '25', '3', '30', '36', '43', '47']",1000,0.0001,0.02,0.1,5000,50,408.0,2302.0,408-2302,"['36', '25', '30', '43', '1', '3']",['4'],['27'],6.0,1.0,7.0,99.7,,,,,✅ Complete (6/6),58.94,85.7,6/6,100.0,7.0,6.0,6/6,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,402-2301,99.7%,100.0%,0,99.7,,,,,,,,,,50.0,99.3,0,1,2,0,1,❌ None
86,87,5,74.79939819458374,33,9409,3,⭐ Excellent Match (1/1),Step 2: Best Match,8,7,12,40,4,33,66.7%,17.5%,❌ Diff: RDP=8 vs Santa=7,52,15,37,33_Recombination events.csv|9409,9409,33_Recombination events.csv,1515,10000,"['1', '2', '21', '36']",1000,0.0001,0.02,0.1,5000,50,1520.0,9998.0,1520-9998,"['2', '1', '21', '36']","['10', '39', '18', '4', '11', '22', '47', '24', '37', '35', '5', '16', '31', '34', '38', '17', '27', '32', '48', '25', '28', '41', '14', '42', '26', '6']","['13', '19', '33', '50']",5.0,2.0,7.0,99.9,,,,,✅ Complete (4/4),58.98,100.0,4/4,100.0,4.0,4.0,4/4,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,1515-10000,99.9%,100.0%,0,99.9,,,,,,,,,,50.0,99.3,0,1,2,0,3,❌ None
87,88,2,74.64646464646464,17,9269,2,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,6,39,2,35,66.7%,10.3%,✅ Equal,45,8,37,17_Recombination events.csv|9269,9269,17_Recombination events.csv,6489,10000,"['17', '22', '24', '3', '47', '6']",1000,0.0001,0.02,0.1,5000,50,6497.0,9991.0,6497-9991,"['24', '3', '47', '17']","['10', '50', '39', '18', '4', '11', '23', '13', '46', '19', '12', '37', '35', '5', '20', '40', '8', '16', '34', '38', '27', '1', '32', '9', '48', '36', '25', '15', '28', '30', '42', '44', '45', '49', '29', '21', '43']","['7', '31', '14', '26', '2']",8.0,9.0,17.0,99.5,,,,,✅ Complete (4/4),58.900000000000006,66.7,4/4,100.0,6.0,4.0,4/4,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,6489-10000,99.5%,100.0%,0,99.5,,,,,,,,,,50.0,98.3,0,1,2,0,2,❌ None
88,89,4,74.4969818913481,25,9824,2,⭐ Excellent Match (1/1),Step 2: Best Match,7,6,8,22,1,16,87.5%,27.3%,❌ Diff: RDP=7 vs Santa=6,30,13,17,25_Recombination events.csv|9824,9824,25_Recombination events.csv,3333,10000,"['12', '17', '24', '28', '32', '33', '43', '44', '47', '7']",1000,0.0001,0.02,0.1,5000,50,3343.0,9994.0,3343-9994,"['24', '33', '43', '47']","['28', '12', '7']","['8', '25', '34', '41', '45', '29', '4', '9']",10.0,6.0,16.0,99.8,,,,,✅ Complete (4/4),58.96,40.0,4/4,100.0,10.0,4.0,4/4,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,3333-10000,99.8%,100.0%,0,99.8,,,,,,,,,,50.0,98.4,0,1,2,0,2,❌ None
89,90,6,74.34738955823293,34,9782,5,✅ Complete Match (1/1),Step 2: Best Match,8,7,11,56,3,49,72.7%,12.5%,❌ Diff: RDP=8 vs Santa=7,67,15,52,34_Recombination events.csv|9782,9782,34_Recombination events.csv,183,8931,"['20', '36', '43', '49']",1000,0.0001,0.02,0.1,5000,50,179.0,8944.0,179-8944,"['36', '20', '43', '49']","['7', '38', '26', '4', '22']","['23', '37']",4.0,13.0,17.0,100.0,,,,,✅ Complete (4/4),57.0,100.0,4/4,100.0,4.0,4.0,4/4,70,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,5,183-8931,100.0%,100.0%,0,100.0,,,,,,,,,,50.0,98.3,0,1,3,0,5,❌ None
90,91,5,73.04609218436875,31,9878,2,✅ Complete Match (1/1),Step 2: Best Match,10,9,14,40,4,31,71.4%,22.5%,❌ Diff: RDP=10 vs Santa=9,54,19,35,31_Recombination events.csv|9878,9878,31_Recombination events.csv,1935,8721,['36'],1000,0.0001,0.02,0.1,5000,50,1936.0,9260.0,1936-9260,['36'],"['7', '15']","['8', '45', '13', '5', '33']",1.0,539.0,540.0,100.0,,,,,🎯 Perfect (1/1),53.0,100.0,1/1,100.0,1.0,1.0,1/1,30,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,1935-8721,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,46.0,0,1,3,0,2,❌ None
91,92,6,73.04609218436875,31,9878,12,Cross Match (Case_S1_E2S),Step 6: Cross Matches,10,9,14,40,4,31,71.4%,22.5%,❌ Diff: RDP=10 vs Santa=9,54,19,35,31_Recombination events.csv|9878,9878,31_Recombination events.csv,1935,8721,['36'],1000,0.0001,0.02,0.1,5000,50,1936.0,9260.0,1936-9260,['36'] | ['36'],"['7', '15'] | ['16', '14', '17', '26', '11', '43']","['8', '45', '13', '5', '33'] | ['13']",,,,,,,,,,85.5,,,100.0,,,,50,,,,,,,100.0,,,,,100.0,,,,2.0,,,,,,,,,100.0,✅ Yes,✅ Yes,2.0,12.0,,0.0,✅ Yes,✅ Yes,12,1935-8721,100.0%,100.0%,100,100.0,,,,,,,,,,100.0,46.0,5,3,4,100,12,✅ Start+End
92,93,4,72.92025243832472,18,373,5,✅ Complete Match (1/1),Step 2: Best Match,9,9,11,43,2,34,81.8%,20.9%,✅ Equal,54,18,36,18_Recombination events.csv|373,373,18_Recombination events.csv,7935,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0001,0.02,0.1,5000,50,8248.0,9983.0,8248-9983,"['10', '8', '48', '31', '50', '25', '15', '45', '42', '44', '18', '4', '1', '32']","['24', '16', '19', '28', '14', '12', '38', '2', '11', '22', '43', '27', '33']",['26'],313.0,17.0,330.0,84.0,,,,,✅ Complete (14/14),51.8,28.0,14/14,100.0,50.0,14.0,14/14,50,93.4,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,5,7935-10000,84.0%,100.0%,0,84.0,,,,,,,,,,78.57142857142857,67.0,0,1,3,0,5,❌ None
93,94,2,72.01542588866532,38,7603,1,✅ Complete Match (1/1),Step 2: Best Match,5,5,9,38,4,33,55.6%,13.2%,✅ Equal,47,10,37,38_Recombination events.csv|7603,7603,38_Recombination events.csv,4995,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0001,0.02,0.1,5000,50,5045.0,9819.0,5045-9819,"['46', '10', '49', '34', '30', '41', '9', '20', '33']","['16', '25']","['7', '48', '36', '45', '44', '14', '17', '38', '42', '18', '4', '6', '11', '1', '13', '32']",50.0,181.0,231.0,95.4,,,,,✅ Complete (9/9),54.08,18.0,9/9,100.0,50.0,9.0,9/9,50,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,4995-10000,95.4%,100.0%,0,95.4,,,,,,,,,,66.66666666666666,76.9,0,1,3,0,1,❌ None
